Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,56.0,1.0,56.0,56.0,0.1,3685.815140218821,0.0,0.0,0.009338855743408203,,,,,,,,,,,,,,,,,,,,,2065.164322881333,1133.8132185434188,3577.3169948100904,31.208768666464913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,104.0,2.0,48.0,104.0,0.1,2451.806463331477,0.0,0.0,5.3273444175720215,,,,,,,,,,,,,,,,,,,,,1263.2073230924714,803.3152137277491,2395.9620399408805,24.243304304676908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,149.0,3.0,45.0,149.0,0.1,2378.379995799971,0.0,0.0,10.228726387023926,,,,,,,,,,,,,,,,,,,,,1274.8374649267987,763.9150748146888,2325.6613068306187,22.90589320439484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,193.0,4.0,44.0,193.0,0.1,2320.445211747993,0.0,0.0,15.210730075836182,,,,,,,,,,,,,,,,,,,,,1299.2668655394205,711.1271967407743,2267.8108235004356,20.660449414914453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,220.0,5.0,27.0,220.0,0.1,1128.4261528457582,0.0,0.0,18.372214555740356,,,,,,,,,,,,,,,,,,,,,588.4549988359137,370.35839301865116,1114.7662856822674,11.135678820428934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,328.0,6.0,108.0,328.0,0.1,10570.473696238038,0.0,0.0,29.549405097961426,,,,,,,,,,,,,,,,,,,,,5899.2326467689845,3051.6510095603608,9953.253123380618,68.08909763174157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,400.0,7.0,72.0,400.0,0.1,5749.082609758838,0.0,0.0,37.286691188812256,,,,,,,,,,,,,,,,,,,,,3184.834417922966,1771.0083327156328,5530.830662162048,44.45980057538931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,470.0,8.0,70.0,470.0,0.1,4942.770763541897,0.0,0.0,44.48689794540405,,,,,,,,,,,,,,,,,,,,,2830.5875809748372,1460.2306411299182,4754.133145030573,40.11617707801919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,614.0,9.0,144.0,614.0,0.1,15397.96264558833,0.0,0.0,59.43581676483154,,,,,,,,,,,,,,,,,,,,,8612.01731435019,4315.97054428472,14186.190346825206,89.80876845261817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,764.0,10.0,150.0,764.0,0.1,16446.703512514367,0.0,0.0,74.9693489074707,,,,,,,,,,,,,,,,,,,,,9246.9928952393,4540.0217913906345,15089.819126662684,92.16233296562372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
