Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,55.0,1.0,55.0,55.0,0.1,280.4332285748325,0.0,0.0,0.005511283874511719,,,,,,,,,,,,,,,,,,,,,139.16418244697599,82.13947324523897,273.3255763674072,0.443150954048209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,120.0,2.0,65.0,120.0,0.1,360.0259065265926,0.0,0.0,5.970142364501953,,,,,,,,,,,,,,,,,,,,,183.32239424985042,102.9449162974954,348.80721652618814,0.4723901748007966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,164.0,3.0,44.0,164.0,0.1,211.26228493147516,0.0,0.0,10.473790645599365,,,,,,,,,,,,,,,,,,,,,112.65532932626634,64.33111838308983,206.71868108460754,0.450424200975219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,240.0,4.0,76.0,240.0,0.1,451.67913500294753,0.0,0.0,17.50839853286743,,,,,,,,,,,,,,,,,,,,,220.3663948406227,128.86935249341755,435.80245810881974,0.4665408001042757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,264.0,5.0,24.0,264.0,0.1,92.36170833853998,0.0,0.0,20.30585479736328,,,,,,,,,,,,,,,,,,,,,44.621848022242055,28.52250250725908,91.47363979195029,0.2978589047461493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,341.0,6.0,77.0,341.0,0.1,447.6913231168182,0.0,0.0,27.318222761154175,,,,,,,,,,,,,,,,,,,,,223.1542250045694,133.5696009842891,431.3707579365817,0.4467214370620983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,642.0,7.0,301.0,642.0,0.1,1717.4290953880234,0.0,0.0,53.300442934036255,,,,,,,,,,,,,,,,,,,,,818.3139324103346,428.1397859219984,1474.063254177614,7.92747063553321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,801.0,8.0,159.0,801.0,0.1,960.9840114082556,0.0,0.0,67.48892116546631,,,,,,,,,,,,,,,,,,,,,468.1069003089581,262.9289682724876,888.33078750335,0.4303854883308782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,952.0,9.0,151.0,952.0,0.1,515.175022876824,0.0,0.0,81.08354783058167,,,,,,,,,,,,,,,,,,,,,272.59789981073817,134.2530837068711,498.971525979692,0.5252618518235438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1250.0,10.0,298.0,1250.0,0.1,1929.514382471157,0.0,0.0,107.03858661651611,,,,,,,,,,,,,,,,,,,,,887.8210487932107,499.69843930825016,1668.2785988498808,0.516753428106268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1284.0,11.0,34.0,1284.0,0.1,145.52527090261583,0.0,0.0,110.32007503509521,,,,,,,,,,,,,,,,,,,,,68.73755829544517,43.934929901067,143.47500044646327,0.31968345521185504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1378.0,12.0,94.0,1378.0,0.1,523.6313825969843,0.0,0.0,119.05131316184998,,,,,,,,,,,,,,,,,,,,,264.78885503655584,150.4182567600314,499.7402109051476,0.4514782218293547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
