Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,167.0,1.0,167.0,167.0,0.0,166.16600000000042,0.0,0.0,0.011442184448242188,,,,,,,,,,,,,,,,,,,,,79.61115182081562,44.41983327446957,153.17713874627762,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,326.0,2.0,159.0,326.0,0.0,124.38904444556134,0.0,0.0,16.443281173706055,,,,,,,,,,,,,,,,,,,,,62.18533099731975,29.88340282969655,114.73092393393134,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,375.0,3.0,49.0,375.0,0.0,33.29393695848746,0.0,0.0,21.84606695175171,,,,,,,,,,,,,,,,,,,,,10.593476849613458,13.401751339572108,32.84050476187539,-10.73186194721318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,538.0,4.0,163.0,538.0,0.0,162.1620000000004,0.0,0.0,38.743727922439575,,,,,,,,,,,,,,,,,,,,,77.81627509416722,43.4403073619041,149.7773520864716,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,579.0,5.0,41.0,579.0,0.0,20.246905493486587,0.0,0.0,43.27673053741455,,,,,,,,,,,,,,,,,,,,,2.372138901702413,10.444596498169705,20.19000762375667,-13.748182318969105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,624.0,6.0,45.0,624.0,0.0,33.17220663076977,0.0,0.0,47.93049955368042,,,,,,,,,,,,,,,,,,,,,12.239704534900339,12.486649268304081,32.68676076146142,-7.85988234165572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,666.0,7.0,42.0,666.0,0.0,27.2332874578812,0.0,0.0,52.67473101615906,,,,,,,,,,,,,,,,,,,,,8.10083533640625,11.39085275359883,26.946919265363597,-9.786795662484948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,707.0,8.0,41.0,707.0,0.0,11.020486295369052,0.0,0.0,57.32074522972107,,,,,,,,,,,,,,,,,,,,,-1.3618067740105397,6.055033893990023,11.098506287171544,-11.463578754865486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,862.0,9.0,155.0,862.0,0.0,130.58377671773047,0.0,0.0,73.67967295646667,,,,,,,,,,,,,,,,,,,,,56.2740790238051,38.003616038722434,122.10538312991709,-9.858381633935576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1011.0,10.0,149.0,1011.0,0.0,127.51130466450304,0.0,0.0,89.43462038040161,,,,,,,,,,,,,,,,,,,,,52.58784978852792,40.30151405411909,119.91542598255121,-14.589657808566587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
